Year,Name,Revenue,Rank,Twitter,Sector
2021,Truist Financial,24427,119,"""[TruistNews,TruistPark,truistinc]""",Finance
2021,PNC Financial Services,24039,120,"""[PNCArena,PNCBank,PNCNews,PNCArtsCenter,PNCParkEvents,PNCStadium]""",Finance
2021,Broadcom,23888,121,"""[Broadcom,symantec,BroadcomVSM,AppNeta,BroadcomSW,BroadcomSTEM,BroadcomMSD,BroadcomSwitch,BroadcomAIOps,ConnectBroadcom]""",Technology
2021,CB Richard Ellis,23826.2,122,"""[CBREAmericas,CBRE,CBRE_UK,cbreNewZealand,cbrecapitalmkts,CBREHongKong,CBRESoCal,CBRENYTriState,cbreasia,cbrechicago,CBRE_India,CBREcolorado,CBRERetail,cbrebuild_nyc,cbremultifamily,CBRE_IM,cbredatacenters,CBREworkplace,CBREIndustrial,CBRETechMedia,CBREHotels,cbrepropmgmt,cbrepjm]""",Finance
2021,Massachusetts Mutual,23663.1,123,"""[massmutual,Massgov,MM_Center,CambridgeAid]""",Finance
2021,Qualcomm,23531,124,"""[Qualcomm,QualcommVenture,qualcomm_in,Snapdragon,QCOMResearch,Qualcomm_EU,QI_UCSD,QualcommforGood,QualcommPolicy,QC_EUPolicy]""",Technology
2021,Starbucks,23518,125,"""[Starbucks,StarbucksUK,StarbucksCanada,StarbucksIndia,StarbucksNews,StarbucksAu,StarbucksIE,starbucksmusic,starbucks_gb]""",Food
2021,Duke Energy,23453,126,"""[DukeEnergy,DukeUEnergy,DE_Nuclear,DECRaleigh]""",Energy
2021,Plains GP Holdings,23290,127,null,Energy
2021,US Foods,22885,128,"""[USFoods]""",Wholesalers
2021,Lennar,22488.9,129,"""[Lennar]""",Industrials
2021,Danaher,22284,130,"""[DanaherCorp]""",Healthcare
2021,Aflac,22147,131,"""[aflac]""",Finance
2021,Rite Aid,21928.4,132,"""[riteaid]""",Food
2021,Visa,21846,133,"""[Visa,VisaUK,VisaNews,VisaCheckout,VisaSecurity,VisaIreland,VisaAU,VisaDeveloper,Visa_IND,VisaCA]""",Finance
2021,PayPal,21454,134,"""[PayPal,PayPalNews,PayPalUK,PayPal4Business,paypaldev,PayPalAU,PayPalCA,ZettlebyPayPal,PayPalIN,PayPalEng,PayPal_Policy,PayPalPark]""",Finance
2021,Micron Technology,21435,135,"""[MicronTech,MicronCEO]""",Technology
2021,CarMax,21424.1,136,"""[CarMax,carmaxautocare]""",Retailing
2021,Salesforce,21252,137,"""[salesforce,SalesforceOrg,SalesforceEng,SalesforceNews,salesforcesmb,SalesforceDevs,SalesforceAdmns,appexchange,partnerforce,SalesforceUX,SalesforceEQ,SFResearch,SalesforceUK,salesforcedocs,SalesforceforIT,salesforce_IR,SalesforceVC,SalesforceQuip,SalesforceCA,SalesforceEdu,SalesforceGov,salesforcestart,salesforceind,Datorama,SalesforceLive,SalesforceArchs,Salesforceben,Salesforce_labs,ServiceCloud]""",Technology
2021,Altria Group,20841,138,"""[AltriaNews]""",Food
2021,Lumen Technologies,20712,139,"""[lumendatabase,lumentechco,StellarOrg,lumenprize,LumenField]""",Technology
2021,Baker Hughes,20705,140,"""[bakerhughesco,bakerhughes_ME]""",Energy
2021,International Paper,20580,141,"""[IntlPaperCo,IntlPaperGR]""",Industrials
2021,Hartford Financial Services,20523,142,"""[TheHartford,HartfordBiz]""",Finance
2021,Penske Automotive Group,20443.9,143,"""[Team_Penske,PenskeMedia,PenskeNews,PenskeMoving,PenskeLogistics,penskeautomall,PenskeUsedTruck,PenskeCars]""",Retailing
2021,DuPont,20397,144,"""[DuPont_News,PioneerSeeds]""",Industrials
2021,AutoNation,20390,145,"""[AutoNation,imaxftl]""",Retailing
2021,Southern,20375,146,"""[SouthernGas,SouthernCoGas,SouthernCompany]""",Energy
2021,World Fuel Services,20358.3,147,"""[world_fuel]""",Energy
2021,D.R. Horton,20311.1,148,"""[DRHorton]""",Industrials
2021,Nucor,20139.7,149,"""[NucorSkyline,NucorCorp,nucor_steel,CENTRIA,Metl_Span,NucorGreen]""",Industrials
2021,Cummins,19811,150,"""[Cummins,NAICummins,CumminsAllison,CumminsEurope]""",Industrials
2021,NGL Energy Partners,19770.9,151,null,Energy
2021,DXC Technology,19577,152,null,Technology
2021,Union Pacific,19533,153,"""[UnionPacific,shipUP,UP_steam,UPRRMuseum]""",Transportation
2021,Whirlpool,19456,154,"""[WhirlpoolCorp,whirpoolusa,WhirlpoolBathUK,Whirlpool_CA,WhirlpoolCare,WhirlpoolUK]""",Industrials
2021,Molina Healthcare,19423,155,"""[molinahealth,AffinityByMHC]""",Healthcare
2021,ConocoPhillips,19256,156,"""[conocophillips,cop_newsroom,EINConoco,COP_Alaska]""",Energy
2021,McDonald's,19207.8,157,"""[McDonalds,mcdonaldsindia,McDonaldsUK,McDonaldsCanada,McDonaldsCorp,McDonaldsPK,McDonaldsUKNews,QuadCitiesMcD,McDonaldsIRL]""",Food
2021,Kimberly-Clark,19140,158,"""[KCCorp,KCCareers]""",Household
2021,Paccar,18728.5,159,null,Industrials
2021,PG&E,18469,160,"""[PGE4Me]""",Energy
2021,CDW,18467.5,161,"""[CDWCorp,CDW_Healthcare,CDW_UK,CDWCanada,CDWStudios]""",Technology
2021,Sherwin-Williams,18361.7,162,"""[SherwinWilliams,HGTVHOMEbySW,SWCoilCoatings,SWDesignPros,BlendSupply]""",Industrials
2021,L3Harris Technologies,18194,163,"""[L3HarrisTech,GeoByHarris,L3HarrisAcademy,TrenchantARC]""",Aerospace and Defence
2021,Macy's,18097,164,"""[Macys,MacysTourism,JohnWmMacys,MacysBackstage,macysnews,CulinaryCouncil]""",Retailing
2021,Manpower,18001,165,"""[manpower,ManpowerGroup,manpowerme,Manpower_US,ManpowerCanada,ManpowerGroupUK,MPG_Tsolutions,ManpowerGroupIn,ManpowerUKtoday,Tsolutions_UK]""",Media
2021,NextEra Energy,17997,166,"""[NextEraEnergyR,nexteraenergy,NexteraDPC,NextEraPOS,nexteracomm,NextEraGlobal,GexaVoice,NextEraPkg,NextErabd]""",Energy
2021,Tenet Healthcare,17640,167,"""[tenethealth]""",Healthcare
2021,Avnet,17634.3,168,"""[Avnet,element14_Avnet,Farnell_Avnet,AvnetSilica,Avnet_Abacus,AvnetIntegrated,Newark_Avnet,softwebchicago]""",Wholesalers
2021,General Mills,17626.6,169,"""[GeneralMills]""",Food
2021,WestRock,17578.8,170,"""[WestRock,WestrockCoffee]""",Industrials
2021,Carrier,17456,171,"""[carrier,CarrierHVAC,SmartColdChain,CarrierAtHome]""",Industrials
2021,Lincoln National,17439,172,"""[lincolnfingroup,LFFStadium,Join_LFN,lfdistributors,LincolnFinatic]""",Finance
2021,Genuine Parts,17384.4,173,"""[genuinepartsco]""",Wholesalers
2021,American Airlines Group,17337,174,"""[AmericanAir,AACreditUnion,aairwaves]""",Transportation
2021,Marsh & McLennan,17224,175,"""[MarshMcLennan,MMABouchard,MMASouthwest,MMAUpperMidwest,MMA_PCS,Marsh_MMA,Mercer,MarshGlobal]""",Finance
2021,Applied Materials,17202,176,"""[Applied4Tech,ACS_AMI,Applied_VC,ACS_AEM,ACS_ABM]""",Technology
2021,Becton Dickinson,17117,177,"""[BDandCo,BDBiosciences]""",Healthcare
2021,Delta Air Lines,17095,178,"""[Delta,DeltaHotelsLtd,EndeavorAir,deltafaucet]""",Transportation
2021,Lear,17045.5,179,"""[LearCapital,LearCorporation]""",Transportation
2021,Bank of New York Mellon,16940,180,"""[BNYMellon,BNYMellonWealth,Pershing,NewtonIM]""",Finance
2021,Emerson Electric,16785,181,"""[Emerson_News,EmersonComRes,EMR_Automation,EmCollective,EmersonHospital]""",Industrials
2021,Western Digital,16736,182,"""[westerndigital,WDCreators,WesternDigiCTO,wd_black]""",Technology
2021,Occidental Petroleum,16680,183,"""[WeAreOxy]""",Energy
2021,Nvidia,16675,184,"""[nvidia,NVIDIAGeForce,NVIDIAGeForceUK,NVIDIAGFN,NVIDIASHIELD,NVIDIAAI,NVIDIANetworkng,NVIDIAGameDev,NVIDIAEmbedded,NVIDIAAIDev,NVIDIAHPCDev,NVIDIAEU,NVIDIACreators,NVIDIAVirt,NVIDIADC,NVIDIAAP,NVIDIADRIVE,nvidiaomniverse,NVIDIADesign,NVIDIAGTC,NVIDIAHealth,nvidiadeveloper]""",Technology
2021,Cognizant,16652,185,"""[Cognizant,AstonMartinF1,JoinCognizant,CognizantThink,NetcentricHQ,wearesoftvision,CognizantNews,CognizantEvents,TZProvider,CognizantFdn,TQS_Integration,ZT_Global,linium,hpa_automation,cogcommnews,TriZetto,DataLitProject]""",Technology
2021,Jones Lang LaSalle,16589.9,186,"""[kingsturge]""",Finance
2021,Synchrony Financial,16472,187,"""[synchrony,SynchronyFi,SynchronySys,SynchronyGlobal,Synchrony_HS,SynchronyHR,SynchronyInno,SYFNews]""",Finance
2021,Colgate-Palmolive,16471,188,"""[CP_news,Colgate,ColgateUK,ColgateIndia]""",Household
2021,AECOM,16390.8,189,"""[AECOM,AECOMTransport,AECOMBuildPlace,AECOMHunt,AECOMEnvWater,AECOMSports,AECOMTishman,AECOMEnergy,AECOMGovernment,AECOMIndustrial,AECOML,AECOMUrbanSOS]""",Industrials
2021,XPO Logistics,16252,190,"""[XPOLogistics,XPOLogistics_Eu,LifeatXPO,XPOLogisticsTB]""",Transportation
